#	O3	NO2	NO
2014-03-21_04	69	9	0.00
2014-03-21_05	69	12.5	0.00
2014-03-21_06	59	21.5	1.30
2014-03-21_07	49	31.5	2.61
2014-03-21_08	47.5	32	3.26
2014-03-21_09	48	26.5	3.59
2014-03-21_10	69	25.5	3.59
2014-03-21_11	77.5	21.5	3.91
2014-03-21_12	79.5	15.5	3.26
2014-03-21_13	83	12.5	2.61
2014-03-21_14	83.5	13.5	2.28
2014-03-21_15	85	14	2.28
2014-03-21_16	81.5	18	1.96
2014-03-21_17	77	22.5	1.63
2014-03-21_18	75	24.5	0.98
2014-03-21_19	60.5	38.5	1.63
2014-03-21_20	46.5	49.5	2.93
2014-03-21_21	30.5	61.5	3.59
2014-03-21_22	17.5	69	3.59
2014-03-21_23	22.5	59.5	2.61
2014-03-22_00	31.5	41	1.30
2014-03-22_01	48	25.5	0.33
2014-03-22_02	61	15	0.00
2014-03-22_03	66.5	11.5	0.00
2014-03-22_04	60	12	0.00
2014-03-22_05	56	16	0.00
2014-03-22_06	57.5	16	0.65
2014-03-22_07	59	17	0.98
2014-03-22_08	60	16	1.30
2014-03-22_09	60.5	16.5	1.63
2014-03-22_10	63.5	17.5	1.96
2014-03-22_11	57	25.5	3.91
2014-03-22_12	65	19	3.26
2014-03-22_13	75	11.5	2.28
2014-03-22_14	81.5	9	1.96
2014-03-22_15	84	10	1.63
2014-03-22_16	83.5	11	1.63
2014-03-22_17	81.5	13	1.63
2014-03-22_18	77	16.5	1.30
2014-03-22_19	69.5	22.5	0.65
2014-03-22_20	67.5	22	0.65
2014-03-22_21	68	19.5	0.33
2014-03-22_22	70	17	0.00
2014-03-22_23	69	18	0.00
2014-03-23_00	65	18.5	0.33
2014-03-23_01	59	19	0.33
2014-03-23_02	53	19.5	0.33
2014-03-23_03	51	18	0.00
2014-03-23_04	49.5	16.5	0.00
2014-03-23_05	47.5	18	0.33
2014-03-23_06	47	20	0.65
2014-03-23_07	50	20.5	1.96
2014-03-23_08	57.5	16	2.93
2014-03-23_09	64	12.5	2.93
2014-03-23_10	67	13	2.93
2014-03-23_11	70	10.5	2.28
2014-03-23_12	72.5	10	2.93
2014-03-23_13	79	7.5	1.96
2014-03-23_14	74	13	1.96
2014-03-23_15	73	15	1.63
2014-03-23_16	73	17	2.28
2014-03-23_17	62	24.5	2.93
2014-03-23_18	63	24	1.30
2014-03-23_19	57.5	29	0.98
2014-03-23_20	57	30	0.65
2014-03-23_21	57.5	27	0.65
2014-03-23_22	62	22.5	0.33
2014-03-23_23	53.5	29.5	0.33
2014-03-24_00	52.5	26.5	0.33
2014-03-24_01	45.5	28	0.33
2014-03-24_02	43	26.5	0.65
2014-03-24_03	32.5	34.5	0.98
2014-03-24_04	22	42.5	4.24
2014-03-24_05	5.5	58.5	28.04
2014-03-24_06	1.5	68	51.85
2014-03-24_07	4.5	71	90.33
2014-03-24_08	10.5	68	80.87
2014-03-24_09	33.5	45	23.15
2014-03-24_10	49.5	35	13.04
2014-03-24_11	59	25	7.83
2014-03-24_12	61	20	3.91
2014-03-24_13	58.5	29	6.52
2014-03-24_14	56.5	31.5	7.50
2014-03-24_15	57	30.5	6.52
2014-03-24_16	60	29.5	3.91
2014-03-24_17	57	36.5	4.89
2014-03-24_18	51.5	43.5	4.24
2014-03-24_19	20.5	78.5	16.30
2014-03-24_20	17.5	78.5	10.11
2014-03-24_21	21	71	18.26
2014-03-24_22	29.5	55.5	5.54
2014-03-24_23	27	54.5	12.39
2014-03-25_00	43.5	32.5	1.96
2014-03-25_01	47	24.5	0.65
2014-03-25_02	49.5	17	0.65
2014-03-25_03	43	20	0.65
2014-03-25_04	31.5	27.5	0.65
2014-03-25_05	15	42.5	5.22
2014-03-25_06	13.5	54.5	11.41
2014-03-25_07	28	45.5	9.46
2014-03-25_08	38	38.5	7.83
2014-03-25_09	53.5	26	5.22
2014-03-25_10	59.5	20	3.59
2014-03-25_11	58.5	19.5	3.26
2014-03-25_12	62	18	3.59
2014-03-25_13	68.5	12.5	2.61
2014-03-25_14	66.5	15.5	2.61
2014-03-25_15	71	14	1.96
2014-03-25_16	64	20.5	2.28
2014-03-25_17	56	25	2.93
2014-03-25_18	52	32	3.26
2014-03-25_19	40	45	4.89
2014-03-25_20	28	57	4.24
2014-03-25_21	20.5	65	12.07
2014-03-25_22	13	70	9.46
2014-03-25_23	12	69	8.48
2014-03-26_00	12	64	5.54
2014-03-26_01	29.5	38	0.98
2014-03-26_02	21	43.5	1.96
2014-03-26_03	18	46	3.59
2014-03-26_04	7	54.5	11.41
2014-03-26_05	2.5	54	16.30
2014-03-26_06	2	59.5	45.98
2014-03-26_07	4.5	62	72.07
2014-03-26_08	10.5	51.5	53.48
2014-03-26_09	22	39.5	30.00
2014-03-26_10	37	27.5	15.33
2014-03-26_11	59.5	19.5	7.17
2014-03-26_12	69	17.5	4.57
2014-03-26_13	73.5	16.5	2.61
2014-03-26_14	76.5	18	2.93
2014-03-26_15	80	16.5	2.61
2014-03-26_16	70	24	3.59
2014-03-26_17	62.5	32	2.28
2014-03-26_18	62	33.5	1.30
2014-03-26_19	51.5	42	0.98
2014-03-26_20	25.5	66.5	2.93
2014-03-26_21	16.5	70.5	5.54
2014-03-26_22	18.5	64.5	4.57
2014-03-26_23	14.5	66.5	10.11
2014-03-27_00	15	62.5	8.80
2014-03-27_01	12.5	58.5	3.91
2014-03-27_02	14.5	51.5	2.61
2014-03-27_03	13.5	48	3.91
2014-03-27_04	3.5	57	28.37
2014-03-27_05	2.5	57.5	50.87
2014-03-27_06	2.5	59.5	60.33
2014-03-27_07	4	72.5	135.00
2014-03-27_08	7.5	62.5	90.33
2014-03-27_09	17.5	48.5	37.50
2014-03-27_10	36	39.5	21.52
2014-03-27_11	65	22.5	7.50
2014-03-27_12	81	14.5	2.61
2014-03-27_13	84	13.5	2.61
2014-03-27_14	90	13	1.63
2014-03-27_15	90	14	1.30
2014-03-27_16	92.5	13.5	0.65
2014-03-27_17	90	19.5	1.63
2014-03-27_18	82	26.5	1.63
2014-03-27_19	62.5	43.5	1.30
2014-03-27_20	36.5	68.5	4.89
2014-03-27_21	18	86.5	15.65
2014-03-27_22	34.5	64	4.24
2014-03-27_23	34.5	58.5	1.63
2014-03-28_00	27	60	1.63
2014-03-28_01	32	51.5	3.59
2014-03-28_02	28.5	49.5	1.96
2014-03-28_03	21	50.5	1.96
2014-03-28_04	19.5	53.5	6.85
2014-03-28_05	24	48	3.91
2014-03-28_06	12.5	63	14.67
2014-03-28_07	21	60.5	18.91
2014-03-28_08	14.5	72.5	49.89
2014-03-28_09	37	50.5	25.76
2014-03-28_10	67.5	24	7.50
2014-03-28_11	83.5	13.5	2.61
2014-03-28_12	85.5	14	1.63
2014-03-28_13	93	12	1.96
2014-03-28_14	98.5	10.5	1.30
2014-03-28_15	99	11	1.30
2014-03-28_16	98	12.5	1.63
2014-03-28_17	94.5	18.5	1.96
2014-03-28_18	85.5	29	1.30
2014-03-28_19	50	60.5	2.61
2014-03-28_20	42.5	63.5	3.26
2014-03-28_21	44.5	59.5	3.91
2014-03-28_22	60.5	38.5	0.98
2014-03-28_23	64	32	0.33
2014-03-29_00	65.5	28	0.33
2014-03-29_01	67	21	0.65
2014-03-29_02	66	18.5	0.33
2014-03-29_03	63.5	21.5	0.33
2014-03-29_04	52.5	28	0.65
2014-03-29_05	57.5	21.5	0.98
2014-03-29_06	52.5	24	1.63
2014-03-29_07	53.5	26	2.93
2014-03-29_08	50.5	31.5	6.20
2014-03-29_09	62	24.5	4.89
2014-03-29_10	79.5	15	2.93
2014-03-29_11	88.5	11.5	2.28
2014-03-29_12	99	9	1.63
2014-03-29_13	105	9	1.30
2014-03-29_14	106.5	10	1.96
2014-03-29_15	105.5	18	4.57
2014-03-29_16	106.5	11	0.65
2014-03-29_17	100	18	0.98
2014-03-29_18	85	30.5	0.98
2014-03-29_19	70	41	1.30
2014-03-29_20	52.5	56	1.63
2014-03-29_21	54.5	47	1.96
2014-03-29_22	66.5	31.5	0.98
2014-03-29_23	74	24.5	0.65
2014-03-30_00	74	22.5	0.65
2014-03-30_01	78.5	20	1.63
2014-03-30_02	84.5	16	0.33
2014-03-30_03	86.5	15	0.33
2014-03-30_04	68.5	28.5	0.65
2014-03-30_05	67.5	25	0.33
2014-03-30_06	64	28	0.65
2014-03-30_07	60	31	1.63
2014-03-30_08	65	25.5	2.61
2014-03-30_09	64	27	3.91
2014-03-30_10	74	20.5	2.93
2014-03-30_11	81.5	16	2.28
2014-03-30_12	83	15	1.30
2014-03-30_13	85.5	14.5	0.98
2014-03-30_14	87.5	14	1.63
2014-03-30_15	85.5	15.5	1.30
2014-03-30_16	84.5	17.5	0.98
2014-03-30_17	71	28	1.30
2014-03-30_18	59.5	39	0.98
2014-03-30_19	57	40.5	0.65
2014-03-30_20	47	46.5	0.65
2014-03-30_21	37.5	52	1.30
2014-03-30_22	19.5	66	9.13
2014-03-30_23	11.5	77.5	9.46
2014-03-31_00	3	90	19.24
2014-03-31_01	3	85	14.67
2014-03-31_02	2.5	84	25.43
2014-03-31_03	3.5	74	58.70
2014-03-31_04	2.5	72	72.72
2014-03-31_05	3.5	67	65.87
2014-03-31_06	1.5	70	128.48
2014-03-31_07	3.5	72	102.39
2014-03-31_08	9	65	60.98
2014-03-31_09	40	46.5	18.91
2014-03-31_10	67	23	6.20
2014-03-31_11	77.5	18	4.24
2014-03-31_12	82	17.5	2.61
2014-03-31_13	83	19	2.93
2014-03-31_14	84	18.5	2.61
2014-03-31_15	82	20.5	1.96
2014-03-31_16	71	29	2.61
2014-03-31_17	61	36.5	2.61
2014-03-31_18	48	51.5	2.93
2014-03-31_19	30.5	69.5	5.22
2014-03-31_20	13	84	11.74
2014-03-31_21	7.5	84.5	8.48
2014-03-31_22	5	83.5	34.89
2014-03-31_23	2.5	81.5	29.35
2014-04-01_00	6	74	12.72
2014-04-01_01	9.5	64.5	10.76
2014-04-01_02	10	62	29.35
2014-04-01_03	11	57	6.20
2014-04-01_04	11.5	59	16.96
2014-04-01_05	8	65	37.50
2014-04-01_06	2	76	68.48
2014-04-01_07	4	77	93.59
2014-04-01_08	11.5	73.5	79.89
2014-04-01_09	23	62	40.76
2014-04-01_10	48.5	38.5	14.67
