0.17	0.133	0.102	0.055	0.04	0.119	0.6	0.048	0.02	0.03	9999	0.375	9999	9999
150	150	199	247	247	160	50	150	163	138	9999	121	9999	9999
40	43	44	44	44	32	20	45	27	23	9999	39	9999	9999
1.e-30	1.e-30	-3	-5	-5	1.e-30	10	10	10	1.e-30	9999	1.e-30	9999	9999
45	45	42	40	40	50	55	52.5	50	43	9999	43.5	9999	9999
30	27	21	15	15	31.5	40	41	42	21.5	9999	27	9999	9999
0.00273	0.00357	0.0034	0.0031	0.0031	0.00298	0.00238	0.00257	0.00275	0.00257	9999	0.00179	9999	9999
-100	-190	-200	-200	-200	-155	-120	-160	-200	-100	9999	-145	9999	9999
-500	-250	-250	-250	-250	-240	-230	-340	-400	-275	9999	-225	9999	9999
35	20	20	17	14	18	0.6	0.5	0.5	0.6	9999	20	9999	9999
4.5	1	3.3	5.2	0.5	0.7	0.5	0.1	0.1	0.2	9999	2.2	9999	9999
2.6	0.75	1.2	0.9	0.6	0.85	0.05	0.05	0.05	0.05	2.0	0.22	1.e-3	0.01
6	6	6	8	6	1.5	0.3	0.3	1.e-30	0.3	1.e-30	0.75	1.e-30	1.e-30
200	500	400	500	500	400	450	500	600	600	750	400	10	100
400	300	300	300	300	300	300	300	400	400	400	300	2000	2000
3000	4000	3000	2000	3000	4000	4000	6000	8000	8000	9999	4000	9999	9999
700	500	700	1500	1000	500	500	650	800	800	9999	750	9999	9999
1500	1200	1500	2000	1600	640	80	100	120	120	50	625	1.e-30	1.e-30
190	140	190	250	195	190	240	270	300	300	9999	130	9999	9999
3000	4000	3000	2000	3000	4000	4000	6000	8000	8000	9999	4000	9999	9999
1	1	1	1	1	1	1	1	1	1	0	1	0	0
1	1	1	1	1	1	0	0	0	0	0	0	0	0
