1	1	2	64.0965	0.0	0.0	0.0
3	1	6	0.0	0.0	0.0	0.0
4	7	8	0.0	0.0	0.0	0.0
5	8	10	16.859	0.0	0.0	0.0
6	11	12	1099.47	0.0	0.0	0.0
7	13	10	59.375	0.0	0.0	0.0
8	1	13	0.0	0.0	0.0	0.0
9	17	18	2.091	0.0	0.0	0.0
10	17	8	16.357	0.0	0.0	0.0
11	1	22	3.7295	0.0	0.0	0.0
12	22	24	48.6943	0.0	0.0	0.0
14	27	28	0.0	0.0	0.0	0.0
15	29	27	57.3112	0.0	0.0	0.0
17	33	34	67.4474	0.0	0.0	0.0
19	8	38	0.0	0.0	0.0	0.0
20	39	22	49.5584	0.0	0.0	0.0
22	43	17	19.242	0.0	0.0	0.0
23	45	13	60.744	0.0	0.0	0.0
24	45	39	70.521	0.0	0.0	0.0
26	51	52	0.0	0.0	0.0	0.0
27	53	29	2.305	0.0	0.0	0.0
29	43	38	0.0	0.0	0.0	0.0
30	38	60	0.0	0.0	0.0	0.0
31	61	33	54.9246	0.0	0.0	0.0
33	65	61	0.0	0.0	0.0	0.0
34	22	68	0.0	0.0	0.0	0.0
35	61	70	5.6274	0.0	0.0	0.0
36	70	72	5.1372	0.0	0.0	0.0
37	70	52	0.0	0.0	0.0	0.0
38	75	76	76.505	0.0	0.0	0.0
40	75	80	163.85	0.0	0.0	0.0
43	85	68	24.739	0.0	0.0	0.0
45	89	90	137.131	0.0	0.0	0.0
47	93	76	27.6245	0.0	0.0	0.0
49	52	98	0.0	0.0	0.0	0.0
50	98	100	0.0	0.0	0.0	0.0
52	103	61	71.632	0.0	0.0	0.0
53	70	103	0.64443	0.0	0.0	0.0
54	107	108	0.0	0.0	0.0	0.0
55	109	108	139.745	0.0	0.0	0.0
57	113	39	20.05	0.0	0.0	0.0
58	68	113	25.31	0.0	0.0	0.0
59	117	33	8.8079	0.0	0.0	0.0
62	103	117	2.9181	0.0	0.0	0.0
63	125	126	0.0	0.0	0.0	0.0
65	129	117	10.9717	0.0	0.0	0.0
67	133	129	12.325	0.0	0.0	0.0
69	137	43	20.666	0.0	0.0	0.0
70	139	133	12.2044	0.0	0.0	0.0
72	143	45	0.0	0.0	0.0	0.0
74	113	143	3.8917	0.0	0.0	0.0
75	149	139	23.417	0.0	0.0	0.0
77	153	103	65.243	0.0	0.0	0.0
78	98	156	0.0	0.0	0.0	0.0
79	137	156	1.8227	0.0	0.0	0.0
80	159	143	3.9845	0.0	0.0	0.0
82	60	164	0.52275	0.0	0.0	0.0
83	143	164	0.0	0.0	0.0	0.0
84	167	60	5.4683	0.0	0.0	0.0
86	129	172	0.0	0.0	0.0	0.0
